,"Greece, EURIBOR, 12 Month, Fixing","Bahrain, BHIBOR, 1 Year, Fixing, Ask","Germany, EURIBOR, 12 Month, Fixing","United States, LIBOR, 12 Month, Fixing","United Kingdom, LIBOR, 12 Month, Fixing","Japan, LIBOR, 12 Month, Fixing","France, EURIBOR, 12 Month, Fixing","Singapore, 12 Month","Spain, LIBOR, 12 Month, Fixing","Switzerland, LIBOR, 12 Month, Fixing","Italy, LIBOR, 12 Month, Fixing","Belgium, EURIBOR, 12 Month, Fixing","Netherlands, EURIBOR, 12 Month, Fixing","Finland, EURIBOR, 12 Month, Fixing","Hong Kong, HIBOR, 12 Month, Fixing","Czech Republic, PRIBOR, 12 Month, Fixing","Portugal, EURIBOR, 12 Month, Fixing","Romania, ROBOR, 12 Month, Fixing","Denmark, CIBOR, 12 Month, Fixing"
01/03/1990,,3.75,8.98,8.9375,15.625,7.75,10.625,6.5,10.875,9.0625,10.875,10.31,8.89,14.82,,,,,
01/04/1990,,3.75,9.08,9.25,16,7.6875,10.125,7,11.1875,9.375,11.1875,10.38,9.25,14.41,,,,,
01/05/1990,,3.75,8.88,8.75,15.125,7.4375,10.3125,7.13,14.76563,8.625,12.17188,9.81,8.83,13.18,,,,,
01/06/1990,,3.75,8.83,8.4375,14.6875,7.8125,10.375,7.19,14.73438,8.5,11.76563,9.5,8.81,14.08,,,,,
01/07/1990,,3.75,8.66167,8,14.5625,8,10.0625,7.19,14.35938,8.625,11.7344,9.31,8.66,13.11,,,,,
01/08/1990,,3.75,8.96208,8.25,14.5625,8.5,10.625,6.94,14.84375,8.6875,12.1094,9.88,8.91,13.82,,,,,
01/09/1990,,3.75,9.03083,8.4375,14.5625,8.875,10.8594,6.75,15.09375,8.4375,11.9844,9.69,9,14.49,,,,,
01/10/1990,,3.75,9,8.125,12.75,8.42188,10.4375,6.75,14.5781,8.375,11.6875,9.56,8.93,14.85,,,,,
01/11/1990,,3.75,9.30083,8,12.5,8.3125,10.375,6.13,14.4844,8.625,12.2813,9.69,9.23,14.16,,,,,
01/12/1990,,3.75,9.43833,7.5625,12.89063,7.8125,10.5625,5.25,14.7969,8.5625,12.8125,10.06,9.51,14,,,,,
01/01/1991,,3.75,9.47917,7.25,12.875,7.75,10.3203,5.13,14.5469,8.0625,12.5156,9.94,9.39,13.28,,,,,
01/02/1991,,3.75,9.11,7.0625,11.75,7.5,9.5937,5.13,13.8125,7.875,12.375,9.44,9.05,13.63,7.25,,,,
01/03/1991,,3.75,9.31583,7,11.625,7.42188,9.625,5,12.7344,8,11.5938,9.5,9.3,13.95,7.63,,,,
01/04/1991,,3.75,9.36,6.75,11.375,7.625,9.4375,5.38,12.8438,8.1875,11.8125,9.38,9.31,12.46,7.25,,,,
01/05/1991,,3.75,9.15667,6.625,11.0625,7.4375,9.3164,5.81,11.8125,7.875,11.5625,9.13,9.16,11.82,8.25,,,,
